      --------Part 1--------   --------Part 2--------   --------Delta---------
Day       Time   Rank  Score       Time   Rank  Score       Time   Rank  Score
 25   00:38:54   2666      0   00:39:53   2206      0   00:00:59   -460      0
 24   00:19:29   1018      0   00:31:44    676      0   00:12:15   -342      0
 23   00:32:17   1149      0   01:08:28    594      0   00:36:11   -555      0
 22   00:08:12    703      0   00:34:45    608      0   00:26:33    -95      0
 21   00:36:12   1416      0   00:39:11   1029      0   00:02:59   -387      0
 20   01:32:33   2132      0   05:52:07   1714      0   04:19:34   -418      0
 19   00:13:51     95      6   00:44:08    342      0   00:30:17    247      6
 18   00:42:22   2259      0   01:15:34   2453      0   00:33:12    194      0
 17   00:43:35   1868      0   00:51:52   1778      0   00:08:17    -90      0
 16   00:15:48   1271      0   00:41:37    850      0   00:25:49   -421      0
 15   00:13:07    911      0   00:18:02    680      0   00:04:55   -231      0
 14   00:13:04    607      0   00:34:49    875      0   00:21:45    268      0
 13   00:07:30    892      0   01:23:43   2228      0   01:16:13   1336      0
 12   00:14:08   1639      0   00:23:27    954      0   00:09:19   -685      0
 11   00:58:52   5055      0   01:26:11   4340      0   00:27:19   -715      0
 10   00:07:58   1346      0   00:54:09   2939      0   00:46:11   1593      0
  9   00:55:14   9025      0   01:04:39   7822      0   00:09:25  -1203      0
  8   00:05:49    668      0   00:13:59    720      0   00:08:10     52      0
  7   00:22:19   1419      0   00:45:05   2137      0   00:22:46    718      0
  6   00:04:13    653      0   00:06:41    386      0   00:02:28   -267      0
  5   00:16:25   2792      0   00:18:01   1840      0   00:01:36   -952      0
  4   00:25:59   5208      0   00:43:52   2668      0   00:17:53  -2540      0
  3   00:17:21   4240      0   00:20:53   3251      0   00:03:32   -989      0
  2   20:25:32  67743      0   20:28:50  65296      0   00:03:18  -2447      0
  1   01:43:56   7929      0   01:49:46   7431      0   00:05:50   -498      0
